excelRow,qid,code,outlinePath,subject,subtopic,confidence,source,reason,questionSnippet,explanationSnippet
"148","19660","44040603","Individual Rights > Other Protections > Contracts Clause","Constitutional Law","Individual Rights","high","row_text_rule","Contracts Clause","After determining that the health insurance plan could be operated less expensively if it did not include persons over the age of 65, the state legislature passed a compulsory retirement law requiring state employees to retire at the age of","Article I, Section 10 of the United States Constitution prohibits the states from passing laws impairing the obligation of contracts. This prevents a state from unjustifiably repudiating its own contractual obligations or interfering with the contract rights of individuals. If the plaintiff was a state employee prior to the time the mandatory retirement law was passed, the state owed him certain obligations under the employment contract. Under the laws that then existed, thes"
"149","21860","43020201","Judicial Review > Jurisdiction of Courts > Constitutional limitations and justiciability","Constitutional Law","Judicial Review","manual","manual_override","manual review: Article III constitutional limits on federal jurisdiction","The plaintiff and the defendant, both residents of the state, entered into an installment contract for the sale of goods. When a dispute arose between them under the contract, the plaintiff asserted a claim for $52,000 against the defendant","Article III of the United States Constitution vests federal judicial power in the United States Supreme Court and in such inferior federal courts as Congress shall establish. In addition, by specifying what cases they may hear, Article III establishes limits on the jurisdiction that may be exercised by the federal courts. Although it gives federal courts the power (i.e., jurisdiction) to hear controversies between citizens of different states, or between citizens of the same "
"150","18990","42010103","Separation of Powers > Legislative Branch > Commerce power","Constitutional Law","Separation of Powers","high","row_text_rule","Commerce Clause","Congress authorizes a federal agency to lease federally owned land to livestock ranchers for grazing purposes at specified rental rates. The plaintiff also owns land in the area that it leases for grazing purposes. The plaintiff complains t","Article IV, Section 2, paragraph 2 of the United States Constitution contains what is known as the Property Clause: “Congress shall have power to dispose of and make all needful rules and regulations respecting . . . property belonging to the United States.” The United States Supreme Court has held that the Property Clause leaves the lease or other disposition of federal property within the discretion of Congress. Although the Commerce Clause gives Congress the power to regul"
"151","18061","83050603","Mortgages and Security Devices > Foreclosure > Parties and priorities","Real Property","Mortgages","high","row_text_rule","foreclosure parties/priorities","In 2008, the landowner conveyed a parcel of realty to her oldest son in fee simple absolute as a gift. At the landowner's request, the oldest son did not record the conveyance. In 2010, the landowner borrowed $10,000 from a neighbor, execut","At common law, priorities were determined by the dates of the transactions involved. The person who received his or her interest first had priority over all others. In all jurisdictions in the United States, recording statutes have modified the common law rule. Under the statute given (typical of the “notice” variety) an unrecorded interest does not defeat the rights of a subsequent taker for value and without notice. Since the youngest son received the property as a gift (i."
"152","18307","94010100","Federal Subject-Matter Jurisdiction > Diversity Jurisdiction","Civil Procedure","Jurisdiction and Venue","high","row_text_rule","diversity jurisdiction","In determining what law to apply in a case brought in federal court based on diversity, which of the following statements is incorrect?","B is incorrect because a federal court sitting in diversity must apply the substantive law of the state in which it is sitting. See Erie Railroad v. Tompkins, 304 U.S. 64 (1938). C is incorrect because federal courts follow federal procedural law. D is incorrect because statutes of limitations are substantive law when determining whether to apply federal or state law. See Guaranty Trust Co. v. York, 326 U.S. 99 (1945). Consequently, a federal court should follow the statute o"
"153","20582","97100300","Judgments and Verdicts > Issue and Claim Preclusion","Civil Procedure","Verdicts and Judgments","manual","manual_override","manual review: collateral estoppel/issue preclusion","A doctor sued a truck driver in state court in State A for injuries he received in an automobile accident. Under State A law, any negligence on a plaintiff's part barred the plaintiff from recovery. The court found in favor of the doctor an","B is incorrect because a subsequent action may not necessarily be barred even if it arose from the same transaction or occurrence. C is incorrect because, although the action did not have to be brought as a compulsory counterclaim, the truck driver could still be collaterally estopped from forcing the doctor to re-litigate the negligence issue. D is incorrect because the fact the truck driver is bringing his action in the same state court would not allow the truck driver to r"
"154","21371","82010301","Nature and Ownership of Land > Concurrent Estates > Joint tenancy","Real Property","Ownership","manual","manual_override","manual review: joint tenancy/tenancy in common ownership after simultaneous deaths","When the landowner died, she left a one-half interest in a parcel of realty to her niece and the niece's husband, as joint tenants with full right of survivorship, and a one-half interest in the realty to the 13-year-old unmarried daughter ","B is incorrect because the daughter's tenancy in common with the niece and the husband gave her no right to their interest. C is incorrect because the landowner's will did not make the shares of the co-owners equal but specified that the daughter held a one-half interest, and that the other one-half interest was held by the niece and the husband. D is incorrect because the landowner's will gave the daughter a one-half interest."
"155","19327","32020803","Relevance > Expert Testimony > Basis of expert testimony","Evidence","Relevancy and Excluding Relevant Evidence","manual","manual_override","manual review: expert testimony basis on otherwise inadmissible statement","A man was injured when a boiler in his building exploded. The man sued the owner of the building. The man hired an accident investigator who talked to one of the building's maintenance workers. The maintenance worker told the investigator t","B is incorrect because the fact the expert did not interview the maintenance worker herself does not change the analysis. C is incorrect because the expert's use of the statement in her testimony does not change the inadmissible statement to an admissible one."
"156","20887","75070202","Fourth Amendment > Searches and Seizures > Exceptions to warrant requirement","Criminal Law and Procedure","Constitutional Protection of Accused Persons (Criminal Procedure)","high","row_text_rule","search warrant exceptions","A man's brother went away for a week on business. The man agreed to stay in his brother's apartment to watch his dogs. While he was staying in the apartment, he smoked marijuana several times. The neighbors called the police to complain abo","B is incorrect because the plain view exception only applies when the police see evidence from a place they are lawfully able to be. Here, the police only saw the marijuana once they unlawfully entered the apartment. C is incorrect because even if the neighbors smelled the marijuana, this was not an exigent circumstance or other exception that would relieve the police from having to obtain a search warrant."
"157","21790","94010200","Federal Subject-Matter Jurisdiction > Federal-Question Jurisdiction","Civil Procedure","Jurisdiction and Venue","high","row_text_rule","federal-question jurisdiction","After she was fired from her job, a saleswoman brought an action against her former employer in federal district court in State A. The saleswoman sought $50,000 in damages. The saleswoman was a citizen of State A, while her former employer ","B is incorrect because there is no amount in the controversy requirement for federal question jurisdiction. C is incorrect because the saleswoman would not be able to bring a claim against the company if it did not arise from the same case or controversy."
"158","19053","33040301","Hearsay > Hearsay Exceptions > Requiring unavailability of declarant","Evidence","Hearsay and Circumstances of Its Admissibility","manual","manual_override","manual review: dying declaration/unavailable declarant exception","The plaintiff asserted a tort claim against the defendant for battery but died of cancer before the trial. At the trial, the witness was called as a witness by the attorney for the plaintiff's estate. The witness testified that she was a po","B is incorrect because while the Federal Rules of Evidence (FRE) require the declarant to be unavailable, it does not require that he have died from the incident described in his statement, or even that he is dead. Although some controversy exists at common law about whether a dying declaration is admissible in anything but a criminal homicide prosecution, the FRE specifically permit its use in a civil action. C is therefore incorrect. The common law provides that an excited "
"159","19310","52040200","Gap-Fillers, Interpretation, and the Parol Evidence Rule > Interpretation","Contracts","Contract Content and Meaning","manual","manual_override","manual review: trade usage to interpret contract terms","A lumber supplier entered into a contract with a new home builder. The contract stated that the builder would purchase all the wood required by the builder for new homes he was building in 2013, but that in no event would the amount be less","B is therefore incorrect. Ordinarily, parties to a contract are understood to accept the economic risks resulting from subsequent events that were within their contemplation at the time the contract was formed. This means that if the parties did contemplate a decline in new home starts, a strong argument could be made that the builder should be bound by the 20,000-board-feet minimum set forth in the contract. The fact that they did not contemplate such a decline in new homes,"
"160","17898","64010500","Intentional Torts > Privileges","Torts","Intentional Torts","manual","manual_override","manual review: consent privilege/defense to battery in sports","A group of friends were playing a pickup soccer game. The plaintiff was dribbling the ball down the field when the defendant kicked the ball away, tripping the plaintiff and injuring him. If the plaintiff sues the defendant for battery, the","Battery is the intentional infliction of a harmful or offensive bodily contact. However, consent is a complete defense to battery, and a plaintiff's consent can be implied by the plaintiff's actions. Here, by taking part in the soccer game, the plaintiff impliedly consented to having the ball kicked away from him (a common occurrence in the game). While the defense of consent can be lost if the defendant goes beyond the consented-to level of contact, the defendant's actions h"
"161","19986","94010200","Federal Subject-Matter Jurisdiction > Federal-Question Jurisdiction","Civil Procedure","Jurisdiction and Venue","manual","manual_override","manual review: federal question subject-matter jurisdiction","A woman, a citizen of State A, sued a company for violations of the federal National Labor Relations Act in federal district court in State A. The company was incorporated in State B and had most of its factories in State A (including the f","Because the woman is bringing a federal claim, any issues regarding the citizenship of the parties are irrelevant. Therefore, A, B, and D are incorrect."
"162","20352","84040203","Titles, Deeds, and Conveyancing > Conveyance by Deed > Delivery and acceptance","Real Property","Titles","manual","manual_override","manual review: deed delivery/acceptance; later destruction does not revoke","A landowner decided to make a gift to his son of a parcel of land he owned. He properly prepared a deed for the transfer of the land according to state law and handed it to his son, saying “I want you to own this land.” Nine months later, t","C is incorrect because whether or not the son made a photocopy wouldn't change the analysis."
"163","17909","75070202","Fourth Amendment > Searches and Seizures > Exceptions to warrant requirement","Criminal Law and Procedure","Constitutional Protection of Accused Persons (Criminal Procedure)","high","row_text_rule","search warrant exceptions","A woman was the owner of a house in which she lived with her 23-year-old son, the defendant. After receiving a tip that the defendant was involved in the unlawful sale of drugs, two police officers went to the woman's home for the purpose o","Consent by a third party to search the property of a defendant makes a warrantless search lawful, but only if the person who consented had rights in the property that were equal to those of the defendant. Since the defendant was the only person who had a key to the footlocker, the woman did not have rights to its contents that were equal to the defendant's. Thus, her consent did not eliminate the need for a warrant to search it. A is therefore incorrect. Even the consent of a"
"164","19761","82010200","Nature and Ownership of Land > Future Interests","Real Property","Ownership","manual","manual_override","manual review: future interest in devise; sparse explanation","The landowner was the owner of a parcel of realty on which there were several buildings and a gold mine. The landowner lived in one of the buildings and personally worked the gold mine, earning a comfortable living by selling the gold that ","Consequently, A, B, and D are incorrect."
"165","17161","64010102","Intentional Torts > Intentional Torts to the Person > Battery","Torts","Intentional Torts","high","row_text_rule","battery","A defendant knew that he often became intoxicated upon drinking small quantities of alcoholic beverages. He frequently visited the neighborhood tavern because he liked the atmosphere, but he usually ordered orange juice or some other non-al","Criminal battery consists of the intentional, reckless, or criminally negligent application of force to the body of another person. One who knows that he or she often becomes intoxicated upon drinking small quantities of alcoholic beverages may be guilty of recklessness or criminal negligence by drinking half a glass of beer in the company of other people. Since this is all the mens rea required for a battery conviction, the fact that it was the alcohol that made the defendan"
